Number,Title,Source,URL,Date
93,Center for Statistics and Analytical Research adds corporate partner,No Source,https://news.kennesaw.edu/stories/2018/grant_partnership_emerson.php,"March 28, 2018"
94,Kennesaw State hosting top students for sales competition,No Source,http://coles.kennesaw.edu/news/stories/ncsc-turns-20.php,"March 28, 2018"
95,KSU dancers to perform at the Kennedy Center,No Source,https://news.kennesaw.edu/stories/2018/ksu_dance_college_festival.php,"March 26, 2018"
96,Kennesaw State biology professor wins national award,No Source,https://news.kennesaw.edu/stories/2018/biology_mentor_award.php,"March 22, 2018"
97,Bagwell College Hall of Fame,No Source,https://news.kennesaw.edu/stories/2018/bagwell_hall_of_fame.php,"March 22, 2018"
98,Kennesaw State's Executive MBA recognized as one of best in the world,No Source,https://news.kennesaw.edu/stories/2018/executive_mba_rankings.php,"March 21, 2018"
99,Coca-Cola donates $1.25 million to support Kennesaw State scholarship program,No Source,https://news.kennesaw.edu/stories/2017/first_generation_scholarship.php,"March 21, 2018"
100,International agreements cap School of Conflict Management opening,No Source,https://news.kennesaw.edu/stories/2018/conflict_management_opening.php,"March 21, 2018"
101,Nursing graduates earn high marks on licensing exam,No Source,https://news.kennesaw.edu/stories/2018/nursing_certification.php,"March 20, 2018"
102,Water.org founder joins discussion of global issues at Kennesaw State,No Source,https://news.kennesaw.edu/stories/2018/conflict_management_forum.php,"March 07, 2018"
103,Kennesaw State student honored by Georgia Board of Regents,No Source,https://news.kennesaw.edu/stories/2018/bor_academic_award.php,"February 28, 2018"
104,Kennesaw State statistics students crunch emergency response data,No Source,https://news.kennesaw.edu/stories/2018/statistics_fire_response.php,"February 26, 2018"
105,Faculty listed among 100 Influential Women to Know,No Source,https://news.kennesaw.edu/stories/2018/influential_women.php,"February 21, 2018"
106,Graphic Design USA names two Kennesaw State graduates to 2018 list,No Source,https://news.kennesaw.edu/stories/2018/graphic_design_alumni.php,"February 20, 2018"
107,Men's track and field wins seventh straight ASUN indoor title,No Source,https://www.ksuowls.com/news/2018/2/17/mens-track-and-field-mtrk-owls-fly-to-seventh-straight-asun-indoor-title.aspx,"February 18, 2018"
108,KSU among nation's best for cybersecurity programs for veterans,No Source,https://news.kennesaw.edu/stories/2017/cybersecurity_veterans.php,"February 05, 2018"
109,Kennesaw State students helping make miracles happen,No Source,https://news.kennesaw.edu/stories/2017/ksu_miracle_contribution.php,"February 02, 2018"
110,Kennesaw State University Presidential Search Committees Named,No Source,https://news.kennesaw.edu/stories/2017/president_search_committees.php,"February 01, 2018"
111,Kennesaw State ranked among schools that students most want to attend,No Source,https://news.kennesaw.edu/stories/2017/admissions_ranking.php,"January 24, 2018"
112,Kennesaw State STEM students to benefit from new math instruction,No Source,https://news.kennesaw.edu/stories/2017/active_learning_mathematics.php,"January 23, 2018"
113,Kennesaw State celebrates Creed Week,No Source,https://news.kennesaw.edu/stories/2017/creed_week_2018.php,"January 22, 2018"
114,"MLK speaker: Continue King's legacy with selflessness, not selfies",No Source,https://news.kennesaw.edu/stories/2017/mlk_ceremony_2018.php,"January 16, 2018"
115,School of Government and International Affairs established at Kennesaw State,No Source,https://news.kennesaw.edu/stories/2017/school_of_government.php,"January 11, 2018"
116,Brian Bohannon Named 2017 AFCA FCS Coach of the Year,No Source,http://ksuowls.com/news/2018/1/9/football-fb-bohannon-named-2017-afca-fcs-coach-of-the-year.aspx#.WlWDbqLEtZM.twitter,"January 10, 2018"
117,Kennesaw State taps former dean as interim provost and vice president for Academic Affairs,No Source,https://news.kennesaw.edu/stories/2017/interim_provost.php,"January 10, 2018"
118,Kennesaw State's online degree programs ranked by U.S. News & World Report ,No Source,https://news.kennesaw.edu/stories/2017/online_rankings_2018.php,"January 09, 2018"
119,Kennesaw State welcomes new chief human resources officer,No Source,https://news.kennesaw.edu/stories/2017/chief_human_resources_officer.php,"January 02, 2018"
